marca,modelo,ano inicio,ano fim,link para o pdf,tipo de fixação,alerta,kit fixação,barras o-plus de alumínio,barras o-plus de aço,barras airo de alumínio,barras airo de alumínio com fixação,barras optima de aço,adaptador optima,alarme,barras transversais de alumínio opção 1,barras transversais de alumínio opção 2,barras transversais de aço,
Alfa Romeo, 145 - 3 portas,1995,2000, https://cdn.shopify.com/s/files/1/0541/2087/4183/files/932-334.pdf?v=1616779278, F,3, kit-de-fixacao-cruz-optima-931-000-ou-932-000|59.755, , , , , barras-de-tejadilho-em-aco-preto-cruz-optima-os115-921-101|59.711, , jogo-de-4-fechaduras-anti-roubo-para-kit-fixacao-cruz-optima-ou-cruz-optiplus-932-014|59.750, , , ,
Alfa Romeo, 146 sedan - 4 portas,1996,2000, https://cdn.shopify.com/s/files/1/0541/2087/4183/files/932-334.pdf?v=1616779278, F,3, kit-de-fixacao-cruz-optima-931-000-ou-932-000|59.755, , , , , barras-de-tejadilho-em-aco-preto-cruz-optima-os115-921-101|59.711, , jogo-de-4-fechaduras-anti-roubo-para-kit-fixacao-cruz-optima-ou-cruz-optiplus-932-014|59.750, , , ,
Alfa Romeo, 147 - 5 portas,2001,2010, https://cdn.shopify.com/s/files/1/0541/2087/4183/files/931-083.pdf?v=1616779277, B,3, kit-de-fixacao-cruz-optima-931-000-ou-932-000|59.755, , , , , barras-de-tejadilho-em-aco-preto-cruz-optima-ot105-921-000|59.715, , jogo-de-4-fechaduras-anti-roubo-para-kit-fixacao-cruz-optima-ou-cruz-optiplus-932-014|59.750, , , ,
Alfa Romeo, 156 sedan - 4 portas,1997,2006, https://cdn.shopify.com/s/files/1/0541/2087/4183/files/932-334.pdf?v=1616779278, F,3, kit-de-fixacao-cruz-optima-931-000-ou-932-000|59.755, , , , , barras-de-tejadilho-em-aco-preto-cruz-optima-os105-921-100|59.710, , jogo-de-4-fechaduras-anti-roubo-para-kit-fixacao-cruz-optima-ou-cruz-optiplus-932-014|59.750, , , ,
Alfa Romeo, 156 - Sportwagon (com barras),2000,2006, , R,2, , , , , , , , , barras-de-tejadilho-em-aluminio-para-veiculos-com-barras-longitudinais-cruz-airo-r118-924-793|59.742, barras-de-tejadilho-em-aluminio-para-veiculos-com-barras-longitudinais-origem-120-cm|59.899, ,
Alfa Romeo, 159 sedan - 4 portas,2005,2011, https://cdn.shopify.com/s/files/1/0541/2087/4183/files/935-602.pdf?v=1616779280, B,7, kit-de-fixacao-cruz-optiplus-935-000|59.753, barras-de-tejadilho-em-aluminio-cruz-oplus-at108-924-705|59.728, barras-de-tejadilho-em-aco-preto-cruz-oplus-st110-921-305|59.733, barras-de-tejadilho-em-aluminio-cruz-airo-t108-924-771|59.735, , barras-de-tejadilho-em-aco-preto-cruz-optima-os105-921-100|59.710, conjunto-de-4-pes-p-adaptacao-as-barras-cruz-optima-ou-cruz-optiplus-935-000|59.752, jogo-de-4-fechaduras-anti-roubo-para-kit-fixacao-cruz-optima-ou-cruz-optiplus-932-014|59.750, , , ,
Alfa Romeo, 159 Sw (com barras),2006,2011, , R,2, , , , , , , , , barras-de-tejadilho-em-aluminio-para-veiculos-com-barras-longitudinais-cruz-airo-r118-924-793|59.742, barras-de-tejadilho-em-aluminio-para-veiculos-com-barras-longitudinais-origem-120-cm|59.899, ,
Alfa Romeo, Giulietta - 5 portas,2010,2014, https://cdn.shopify.com/s/files/1/0541/2087/4183/files/935-612.pdf?v=1616779280, B,7, kit-de-fixacao-cruz-optiplus-935-000|59.753, barras-de-tejadilho-em-aluminio-cruz-oplus-at108-924-705|59.728, barras-de-tejadilho-em-aco-preto-cruz-oplus-st110-921-305|59.733, barras-de-tejadilho-em-aluminio-cruz-airo-t108-924-771|59.735, , barras-de-tejadilho-em-aco-preto-cruz-optima-os105-921-100|59.710, conjunto-de-4-pes-p-adaptacao-as-barras-cruz-optima-ou-cruz-optiplus-935-000|59.752, jogo-de-4-fechaduras-anti-roubo-para-kit-fixacao-cruz-optima-ou-cruz-optiplus-932-014|59.750, , , ,
Alfa Romeo, Giulietta - 5 portas,2014, , https://cdn.shopify.com/s/files/1/0541/2087/4183/files/935-612.pdf?v=1616779280, B,7, kit-de-fixacao-cruz-optiplus-935-000|59.753, barras-de-tejadilho-em-aluminio-cruz-oplus-at108-924-705|59.728, barras-de-tejadilho-em-aco-preto-cruz-oplus-st110-921-305|59.733, barras-de-tejadilho-em-aluminio-cruz-airo-t108-924-771|59.735, , barras-de-tejadilho-em-aco-preto-cruz-optima-os105-921-100|59.710, conjunto-de-4-pes-p-adaptacao-as-barras-cruz-optima-ou-cruz-optiplus-935-000|59.752, jogo-de-4-fechaduras-anti-roubo-para-kit-fixacao-cruz-optima-ou-cruz-optiplus-932-014|59.750, , , ,
Alfa Romeo, MiTo - 3 portas,2008,2013, https://cdn.shopify.com/s/files/1/0541/2087/4183/files/935-613.pdf?v=1616779281, F,4, kit-de-fixacao-cruz-optiplus-935-000|59.753, , , , , barras-de-tejadilho-em-aco-preto-cruz-optima-os105-921-100|59.710, conjunto-de-4-pes-p-adaptacao-as-barras-cruz-optima-ou-cruz-optiplus-935-000|59.752, jogo-de-4-fechaduras-anti-roubo-para-kit-fixacao-cruz-optima-ou-cruz-optiplus-932-014|59.750, , , ,
Alfa Romeo, MiTo - 3 portas,2013, , https://cdn.shopify.com/s/files/1/0541/2087/4183/files/935-613.pdf?v=1616779281, F,4, kit-de-fixacao-cruz-optiplus-935-000|59.753, , , , , barras-de-tejadilho-em-aco-preto-cruz-optima-os105-921-100|59.710, conjunto-de-4-pes-p-adaptacao-as-barras-cruz-optima-ou-cruz-optiplus-935-000|59.752, jogo-de-4-fechaduras-anti-roubo-para-kit-fixacao-cruz-optima-ou-cruz-optiplus-932-014|59.750, , , ,
Alfa Romeo, Stelvio - 5 portas,2017, , https://cdn.shopify.com/s/files/1/0541/2087/4183/files/935-848.pdf?v=1616779281, B,5, kit-de-fixacao-cruz-optiplus-935-000|59.753, barras-de-tejadilho-em-aluminio-cruz-oplus-at118-924-710|59.729, barras-de-tejadilho-em-aco-preto-cruz-oplus-st120-921-310|59.734, barras-de-tejadilho-em-aluminio-cruz-airo-t118-924-773|59.736, , , , jogo-de-4-fechaduras-anti-roubo-para-kit-fixacao-cruz-optima-ou-cruz-optiplus-932-014|59.750, , , ,
Audi, 100 sedan - 4 portas,1983,1991, https://cdn.shopify.com/s/files/1/0541/2087/4183/files/931-004.pdf?v=1616779277, B,3, kit-de-fixacao-cruz-optima-931-000-ou-932-000|59.755, , , , , barras-de-tejadilho-em-aco-preto-cruz-optima-ot105-921-000|59.715, , jogo-de-4-fechaduras-anti-roubo-para-kit-fixacao-cruz-optima-ou-cruz-optiplus-932-014|59.750, , , ,
Audi, 100 sedan - 4 portas,1991,1993, https://cdn.shopify.com/s/files/1/0541/2087/4183/files/931-003.pdf?v=1616779277, B,3, kit-de-fixacao-cruz-optima-931-000-ou-932-000|59.755, , , , , barras-de-tejadilho-em-aco-preto-cruz-optima-ot105-921-000|59.715, , jogo-de-4-fechaduras-anti-roubo-para-kit-fixacao-cruz-optima-ou-cruz-optiplus-932-014|59.750, , , ,
Audi, 100 - Avant (C3 - com barras),1983,1991, , R,2, , , , , , , , , barras-de-tejadilho-em-aluminio-para-veiculos-com-barras-longitudinais-cruz-airo-r118-924-793|59.742, barras-de-tejadilho-em-aluminio-para-veiculos-com-barras-longitudinais-origem-120-cm|59.899, ,
Audi, 100 - Avant (C4 - com barras),1991,1994, , R,2, , , , , , , , , barras-de-tejadilho-em-aluminio-para-veiculos-com-barras-longitudinais-cruz-airo-r118-924-793|59.742, barras-de-tejadilho-em-aluminio-para-veiculos-com-barras-longitudinais-origem-120-cm|59.899, ,
Audi, 80 Avant (B4 - com barras),1992,1995, , R,2, , , , , , , , , barras-de-tejadilho-em-aluminio-p-veiculos-com-barras-longitudinais-cruz-airo-r-108-924-791|59.741, barras-de-tejadilho-em-aluminio-para-veiculos-com-barras-longitudinais-origem-120-cm|59.899, ,
Audi, 90 sedan - 4 portas (B2-B3),1979,1991, https://cdn.shopify.com/s/files/1/0541/2087/4183/files/931-004.pdf?v=1616779277, B,3, kit-de-fixacao-cruz-optima-931-000-ou-932-000|59.755, , , , , barras-de-tejadilho-em-aco-preto-cruz-optima-ot105-921-000|59.715, , jogo-de-4-fechaduras-anti-roubo-para-kit-fixacao-cruz-optima-ou-cruz-optiplus-932-014|59.750, , , ,
Audi, A1 - 3 portas (8X),2010,2018, https://cdn.shopify.com/s/files/1/0541/2087/4183/files/935-675.pdf?v=1616779281, B,6, kit-de-fixacao-cruz-optiplus-935-000|59.753, barras-de-tejadilho-em-aluminio-cruz-oplus-at118-924-710|59.729, barras-de-tejadilho-em-aco-preto-cruz-oplus-st120-921-310|59.734, barras-de-tejadilho-em-aluminio-cruz-airo-t118-924-773|59.736, , barras-de-tejadilho-em-aco-preto-cruz-optima-ot115-921-001|59.716, , jogo-de-4-fechaduras-anti-roubo-para-kit-fixacao-cruz-optima-ou-cruz-optiplus-932-014|59.750, , , ,
