marca,modelo,ano,classic condutor,classic passageiro,adaptador classic,flat condutor,flat passageiro,adaptador flat
ABARTH,124 Spider [348],09.16-,SB450,SB480,A,SF450,SF480,A
ABARTH,500 [312..],08.08-,,,B2,SF600,SF330,B2
ABARTH,500C [312..],09.09-,,,B2,SF600,SF330,B2
ABARTH,Grande Punto  [199..],12.07-12.11,,,B1,SF650,SF380,B1
ABARTH,Punto Evo [199..],06.10-12.11,,,B1,SF650,SF380,B1
ABARTH,Punto [199..],01.12-12.18,,,B1,SF650,SF380,B1
AIXAM,A751,07.05-03.10,SB580,,A,SF580,,A
AIXAM,Charly,03.07-,SB580,,A,SF580,,A
AIXAM,MegaeCity,03.07-,SB580,,A,SF580,,A
AIXAM,Scouty,08.07-07.12,SB580,,A,SF580,,A
ALFA ROMEO ,Brera [939],01.06-12.10,,,C,SF580,SF450,C
ALFA ROMEO ,Giulia [952],03.16-,,,B2,SF600,SF450,B2
ALFA ROMEO ,Giulietta [940],04.10-12.20,,,B2,SF600,SF450,B2
ALFA ROMEO ,GT [937],10.03-06.05,SB550,SB400,A,SF550,SF400,A
ALFA ROMEO ,GT [937],04.05-12.10,,,C,SF550,SF400,C
ALFA ROMEO ,Mito [955],05.08-18.18,,,B1,SF650,SF380,B1
ALFA ROMEO ,Spider [939],03.06-12.10,,,C,SF580,SF450,C
ALFA ROMEO ,Stelvio [949],12.16-,,,B2,SF650,SF450,B2
ALFA ROMEO ,TONALE [965],03.22-,,,B2,SF650,SF500,B2
ALFA ROMEO ,145 [930],04.94-04.97,SB550,SB480,A,SF550,SF480,A
ALFA ROMEO ,145 [930],04.97-12.00,SB550,SB480,A,SF550,SF480,A
ALFA ROMEO ,146 [930],12.94-04.97,SB550,SB480,A,SF550,SF480,A
ALFA ROMEO ,146 [930],04.97-12.00,SB550,SB480,A,SF550,SF480,A
ALFA ROMEO ,147 [937],11.00-06.05,SB550,SB400,A,SF550,SF400,A
ALFA ROMEO ,147 [937],04.05-12.10,SB550,SB400,C,SF550,SF400,C
ALFA ROMEO ,155 [167],02.92-04.96,SB530,SB480,A,SF530,SF480,A
